Control Number,Account Name,District,Street,Connection Type,Connection Status,Last Reading,2019_DEC,2020_JAN,2020_FEB,2020_MAR,2020_APR,2020_MAY,2020_JUN,2020_JUL,2020_AUG,2020_SEP,2020_OCT,2020_NOV,2020_DEC,2022_JAN,2022_FEB,2022_MAR,2022_APR,2022_MAY,2022_JUN,2022_JUL,2022_AUG,2022_SEP,2022_OCT,2022_NOV,2022_DEC,2023_JAN,2023_FEB,2023_MAR,2023_APR,2023_MAY,2023_JUN,2023_JUL,2023_AUG,2023_SEP,2023_OCT,2023_NOV,2023_DEC,2024_JAN,2024_FEB,2024_MAR,2024_APR,2024_MAY,2024_JUN,2024_JUL,2024_AUG,2024_SEP,2024_OCT,2024_NOV,2024_DEC,2025_JAN,2025_FEB,2025_MAR,2025_APR,2025_MAY
500331,"Bartolata, Eusebio",District 2,Fabmar Street,Residential,Active,28.0,,,,,,,,43.0,64.0,21.0,33.0,30.0,,45.0,47.0,33.0,50.0,0.0,114.0,38.0,89.0,88.0,28.0,84.0,40.0,29.0,41.0,0.0,21.0,30.0,30.0,0.0,0.0,,,19.0,18.0,,,,,13.0,,18.0,20.0,,20.0,16.0,,35.0,22.0,20.0,20.0,28.0
500332,"Delos Santos, Pablo",District 3,Amican Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500333,"Pensader, Elvie",District 2,Bailon Street,Commercial,Active,19.0,,,,,,,,0.0,0.0,0.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.0,27.0,17.0,32.0,47.0,,,27.0,26.0,,,,,22.0,,26.0,21.0,,24.0,19.0,,21.0,18.0,21.0,35.0,19.0
500334,"Rejuso, Rolly",District 2,Fabmar Street,Residential,Active,8.0,,,,,,,,29.0,45.0,19.0,29.0,22.0,,38.0,26.0,29.0,39.0,0.0,32.0,16.0,17.0,17.0,21.0,9.0,12.0,12.0,9.0,0.0,11.0,8.0,8.0,6.0,26.0,,,19.0,19.0,,,,,12.0,,7.0,13.0,,11.0,11.0,,8.0,9.0,11.0,8.0,8.0
500335,"Gersalia, Romeo",District 2,Bailon Street,Commercial,Active,21.0,,,,,,,,98.0,78.0,33.0,22.0,37.0,,0.0,13.0,13.0,24.0,0.0,23.0,0.0,35.0,34.0,13.0,13.0,20.0,14.0,13.0,0.0,21.0,15.0,0.0,0.0,0.0,,,17.0,17.0,,,,,8.0,,10.0,13.0,,11.0,6.0,,12.0,11.0,10.0,27.0,21.0
500336,"Lumberio, Nena",,Gutierrez Street,Residential,Active,8.0,,,,,,,,13.0,21.0,6.0,10.0,9.0,,4.0,4.0,4.0,2.0,0.0,6.0,3.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,8.0
500337,"Belmes, Nila",District 1,Gutierrez Street,Residential,Active,29.0,,,,,,,,77.0,125.0,57.0,128.0,113.0,,56.0,57.0,0.0,0.0,53.0,60.0,19.0,79.0,79.0,45.0,100.0,55.0,31.0,42.0,0.0,58.0,61.0,49.0,49.0,101.0,,,49.0,49.0,,,,,22.0,,0.0,0.0,,38.0,26.0,,25.0,21.0,35.0,35.0,29.0
500338,"Delavin, Marilyn",District 1,Gutierrez Street,Residential,Active,21.0,,,,,,,,65.0,89.0,40.0,65.0,26.0,,12.0,19.0,21.0,12.0,0.0,32.0,12.0,39.0,38.0,21.0,41.0,20.0,8.0,19.0,0.0,17.0,10.0,11.0,36.0,55.0,,,25.0,25.0,,,,,9.0,,9.0,20.0,,20.0,26.0,,24.0,0.0,12.0,9.0,21.0
500339,"Nunes, Edwin",District 2,Jones Street,Residential,Active,34.0,,,,,,,,37.0,40.0,29.0,42.0,47.0,,74.0,111.0,33.0,2.0,0.0,6.0,0.0,27.0,26.0,15.0,13.0,9.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,,,37.0,37.0,,,,,33.0,,34.0,43.0,,38.0,50.0,,23.0,25.0,45.0,45.0,34.0
500340,"Espares, Junard",District 2,Alicante Street,Residential,Active,13.0,,,,,,,,48.0,73.0,41.0,53.0,57.0,,18.0,30.0,20.0,11.0,0.0,17.0,0.0,45.0,45.0,15.0,11.0,19.0,10.0,24.0,0.0,23.0,28.0,19.0,18.0,45.0,,,29.0,29.0,,,,,47.0,,16.0,8.0,,12.0,18.0,,12.0,7.0,10.0,12.0,13.0
500341,"Avila, Jelina",District 3,Letada Street,Residential,Active,1.0,,,,,,,,24.0,20.0,7.0,8.0,8.0,,26.0,27.0,31.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,44.0,33.0,28.0,49.0,72.0,,,0.0,0.0,,,,,21.0,,18.0,19.0,,14.0,31.0,,80.0,37.0,14.0,8.0,1.0
500342,"Almoradie, Roger",,Gutierrez Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500343,"Alminana, Hanani",District 2,Jones Street,Residential,Active,14.0,,,,,,,,3.0,4.0,0.0,0.0,0.0,,19.0,19.0,3.0,30.0,0.0,20.0,0.0,41.0,41.0,20.0,25.0,31.0,15.0,22.0,0.0,19.0,27.0,25.0,37.0,40.0,,,22.0,22.0,,,,,11.0,,11.0,12.0,,3.0,9.0,,5.0,3.0,0.0,5.0,14.0
500344,"Sola, Nelita",District 2,Jones Street,Residential,Active,13.0,,,,,,,,16.0,24.0,11.0,16.0,14.0,,14.0,15.0,16.0,20.0,0.0,17.0,0.0,39.0,38.0,19.0,22.0,19.0,15.0,15.0,0.0,16.0,17.0,17.0,24.0,29.0,,,24.0,24.0,,,,,16.0,,14.0,15.0,,15.0,10.0,,12.0,11.0,17.0,13.0,13.0
500345,"Mores, Hera Myra",District 3,Esparrago Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500346,"Almodiel, Jason",District 4,Villamor Street,Residential,Active,50.0,,,,,,,,38.0,37.0,2.0,23.0,0.0,,15.0,11.0,33.0,10.0,0.0,17.0,5.0,28.0,27.0,20.0,20.0,11.0,16.0,9.0,0.0,12.0,13.0,12.0,0.0,3.0,,,35.0,34.0,,,,,0.0,,12.0,23.0,,40.0,40.0,,35.0,30.0,42.0,58.0,50.0
500347,"Lorenzo, Meriam",District 2,Bailon Street,Residential,Active,13.0,,,,,,,,36.0,40.0,11.0,12.0,18.0,,17.0,19.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,30.0,0.0,22.0,46.0,25.0,43.0,48.0,,,40.0,40.0,,,,,27.0,,19.0,18.0,,20.0,20.0,,10.0,12.0,12.0,14.0,13.0
500348,"Bartolata, Hernanie",District 2,Balcavem Street,Residential,Active,20.0,,,,,,,,4.0,10.0,5.0,9.0,7.0,,15.0,9.0,14.0,18.0,0.0,18.0,13.0,36.0,35.0,19.0,15.0,11.0,12.0,15.0,0.0,15.0,22.0,12.0,19.0,26.0,,,9.0,8.0,,,,,12.0,,14.0,16.0,,19.0,10.0,,10.0,10.0,16.0,24.0,20.0
500349,"Balt, Mona",District 1,Bailon Street,Commercial,Disconnected,0.0,,,,,,,,60.0,54.0,47.0,32.0,27.0,,18.0,23.0,24.0,30.0,0.0,23.0,0.0,56.0,56.0,30.0,18.0,18.0,16.0,12.0,0.0,11.0,27.0,12.0,16.0,24.0,,,11.0,10.0,,,,,6.0,,3.0,6.0,,0.0,0.0,,1.0,1.0,1.0,0.0,0.0
500350,"Cantoria, Efren",District 2,Jones Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500351,"Gutierrez, Leny",District 2,Jones Street,Commercial,Active,10.0,,,,,,,,13.0,30.0,12.0,26.0,21.0,,0.0,20.0,28.0,22.0,0.0,15.0,0.0,11.0,11.0,18.0,10.0,16.0,14.0,18.0,0.0,25.0,30.0,26.0,28.0,44.0,,,15.0,15.0,,,,,21.0,,22.0,21.0,,20.0,20.0,,23.0,20.0,16.0,15.0,10.0
500352,"Bartolay, Florien",District 2,Jones Street,Residential,Active,20.0,,,,,,,,8.0,11.0,5.0,10.0,8.0,,16.0,18.0,11.0,21.0,0.0,17.0,0.0,25.0,25.0,11.0,15.0,15.0,8.0,11.0,0.0,14.0,14.0,15.0,14.0,17.0,,,16.0,16.0,,,,,11.0,,10.0,14.0,,11.0,9.0,,9.0,6.0,12.0,0.0,20.0
500353,"Dominguiano, Marilyn",District 2,Jones Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500354,"Coloso, Josephine",District 2,Fabmar Street,Residential,Active,18.0,,,,,,,,33.0,52.0,21.0,30.0,30.0,,50.0,65.0,41.0,53.0,72.0,75.0,48.0,114.0,113.0,70.0,64.0,61.0,42.0,20.0,0.0,13.0,30.0,20.0,0.0,0.0,,,19.0,19.0,,,,,18.0,,0.0,20.0,,25.0,19.0,,20.0,17.0,28.0,20.0,18.0
500355,"Cadiz, Gina 3",District 1,Bailon Street,Commercial,Active,16.0,,,,,,,,0.0,0.0,1.0,1.0,28.0,,25.0,20.0,24.0,41.0,0.0,23.0,0.0,53.0,52.0,20.0,19.0,30.0,20.0,21.0,0.0,17.0,31.0,15.0,25.0,41.0,,,24.0,24.0,,,,,16.0,,20.0,15.0,,19.0,15.0,,16.0,12.0,15.0,17.0,16.0
500356,"Villahermosa, Lita",District 1,Alicante Street,Residential,Active,16.0,,,,,,,,6.0,22.0,14.0,8.0,13.0,,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,15.0,0.0,0.0,30.0,5.0,9.0,0.0,9.0,11.0,0.0,17.0,20.0,,,12.0,12.0,,,,,12.0,,10.0,8.0,,8.0,13.0,,2.0,15.0,9.0,12.0,16.0
500357,"Elloso, Amy",District 1,Alicante Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500358,"Letada, Ambrocio",District 4,Grafilo Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500359,"Barsaga, Maria",District 3,Bartolay Street,Residential,Disconnected,0.0,,,,,,,,9.0,12.0,8.0,13.0,17.0,,92.0,50.0,69.0,23.0,0.0,73.0,22.0,58.0,58.0,28.0,36.0,0.0,0.0,1.0,0.0,11.0,3.0,7.0,0.0,0.0,,,18.0,17.0,,,,,2.0,,46.0,5.0,,26.0,35.0,,1.0,0.0,0.0,0.0,0.0
500360,"Cantoria, Nena",District 2,Balcavem Street,Residential,Active,36.0,,,,,,,,9.0,18.0,8.0,12.0,10.0,,36.0,22.0,24.0,23.0,0.0,57.0,26.0,33.0,33.0,17.0,20.0,15.0,8.0,10.0,0.0,10.0,13.0,9.0,8.0,18.0,,,27.0,27.0,,,,,37.0,,30.0,24.0,,25.0,20.0,,25.0,15.0,25.0,29.0,36.0
500361,"Almoete, Joey",District 1,Lique Street,Residential,Disconnected,0.0,,,,,,,,22.0,42.0,20.0,18.0,29.0,,31.0,8.0,44.0,38.0,0.0,36.0,0.0,66.0,66.0,28.0,34.0,34.0,24.0,24.0,0.0,27.0,38.0,29.0,30.0,57.0,,,38.0,37.0,,,,,31.0,,36.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500362,"Bartolay, Moreno",District 2,Balcavem Street,Residential,Active,12.0,,,,,,,,0.0,17.0,4.0,6.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,5.0,8.0,,,11.0,10.0,,,,,8.0,,7.0,17.0,,46.0,19.0,,12.0,16.0,15.0,13.0,12.0
500363,"Almoradie, Rogelio",District 2,Balcavem Street,Residential,Active,7.0,,,,,,,,9.0,17.0,7.0,11.0,10.0,,16.0,9.0,11.0,11.0,0.0,12.0,8.0,20.0,19.0,12.0,13.0,9.0,8.0,10.0,0.0,11.0,21.0,20.0,18.0,15.0,,,11.0,11.0,,,,,7.0,,7.0,9.0,,8.0,4.0,,0.0,0.0,4.0,10.0,7.0
500364,"Alcantara, Ruina",District 3,Bartolabac Street,Residential,Active,28.0,,,,,,,,33.0,36.0,27.0,37.0,20.0,,18.0,21.0,16.0,22.0,0.0,29.0,0.0,43.0,42.0,21.0,24.0,21.0,13.0,16.0,0.0,13.0,31.0,19.0,25.0,45.0,,,32.0,32.0,,,,,17.0,,40.0,16.0,,24.0,24.0,,25.0,22.0,21.0,26.0,28.0
500365,"Rejuso, Jean",District 1,Bailon Street,Commercial,Active,34.0,,,,,,,,36.0,127.0,96.0,46.0,42.0,,17.0,26.0,20.0,21.0,0.0,20.0,0.0,47.0,46.0,30.0,29.0,41.0,22.0,28.0,0.0,26.0,47.0,24.0,42.0,57.0,,,72.0,71.0,,,,,0.0,,43.0,28.0,,31.0,39.0,,36.0,26.0,34.0,39.0,34.0
500366,"Alcala, Maribel",District 3,Espinosa Street,Residential,Active,71.0,,,,,,,,17.0,26.0,18.0,28.0,21.0,,50.0,31.0,35.0,42.0,0.0,27.0,0.0,36.0,35.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,4.0,5.0,,,0.0,0.0,,,,,38.0,,33.0,24.0,,32.0,12.0,,29.0,18.0,23.0,0.0,71.0
500367,"Ghandali, Mila",,Bartolabac Street,Residential,Active,45.0,,,,,,,,6.0,4.0,38.0,27.0,23.0,,19.0,3.0,42.0,10.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,25.0,18.0,2.0,3.0,,,1.0,1.0,,,,,15.0,,3.0,0.0,,25.0,21.0,,45.0,45.0,50.0,50.0,45.0
500368,"Tugbo, Nixon",District 3,Alicante Street,Residential,Active,10.0,,,,,,,,15.0,27.0,16.0,11.0,30.0,,14.0,0.0,0.0,15.0,0.0,8.0,0.0,17.0,16.0,0.0,6.0,1.0,1.0,1.0,0.0,17.0,8.0,5.0,11.0,54.0,,,94.0,93.0,,,,,116.0,,8.0,4.0,,9.0,4.0,,11.0,0.0,8.0,9.0,10.0
500369,"Delariarte, Carlos                                     ",District 2,Fabmar Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500370,"Felipe, Nimfa",District 1,Bailon Street,Commercial,Active,1.0,,,,,,,,0.0,55.0,27.0,21.0,0.0,,3.0,3.0,2.0,5.0,0.0,4.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,11.0,,,3.0,2.0,,,,,0.0,,1.0,1.0,,2.0,0.0,,0.0,0.0,1.0,0.0,1.0
500371,"Aruc, Grace",District 2,Bailon Street,Residential,Active,10.0,,,,,,,,18.0,21.0,21.0,18.0,16.0,,9.0,25.0,24.0,33.0,0.0,33.0,0.0,29.0,28.0,13.0,23.0,20.0,4.0,24.0,0.0,16.0,22.0,10.0,15.0,26.0,,,24.0,23.0,,,,,14.0,,17.0,17.0,,8.0,8.0,,2.0,4.0,7.0,14.0,10.0
500372,"Sanz, Leilane",District 2,Bailon Street,Commercial,Active,12.0,,,,,,,,21.0,22.0,25.0,15.0,29.0,,30.0,33.0,30.0,33.0,0.0,29.0,0.0,48.0,47.0,19.0,2.0,36.0,18.0,21.0,0.0,14.0,27.0,19.0,32.0,66.0,,,41.0,40.0,,,,,12.0,,26.0,21.0,,22.0,22.0,,36.0,33.0,29.0,28.0,12.0
500373,"Aspa, Rogelio",District 2,Fabmar Street,Residential,Active,25.0,,,,,,,,19.0,25.0,14.0,13.0,11.0,,8.0,10.0,9.0,8.0,11.0,9.0,7.0,19.0,19.0,12.0,29.0,9.0,11.0,10.0,0.0,135.0,10.0,10.0,0.0,0.0,,,3.0,2.0,,,,,3.0,,5.0,7.0,,8.0,10.0,,20.0,9.0,10.0,10.0,25.0
500374,"Acibar, Jenlin",District 2,Bailon Street,Residential,Active,8.0,,,,,,,,23.0,42.0,51.0,23.0,45.0,,35.0,40.0,25.0,36.0,0.0,40.0,0.0,55.0,55.0,20.0,30.0,23.0,22.0,16.0,0.0,23.0,27.0,14.0,25.0,33.0,,,6.0,6.0,,,,,10.0,,27.0,11.0,,10.0,8.0,,16.0,10.0,9.0,8.0,8.0
500375,"Mira, Noe",District 2,Esparrago Street,Residential,Active,6.0,,,,,,,,22.0,6.0,28.0,14.0,15.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,2.0,1.0,2.0,0.0,3.0,7.0,1.0,2.0,20.0,,,1.0,0.0,,,,,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,6.0
500376,"Letada, Salvacion",District 2,Fabmar Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500377,"Borromeo, Elisa",District 2,Alicante Street,Residential,Active,13.0,,,,,,,,12.0,17.0,9.0,13.0,17.0,,16.0,15.0,11.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,4.0,4.0,3.0,16.0,,,12.0,11.0,,,,,13.0,,11.0,13.0,,10.0,18.0,,18.0,12.0,13.0,20.0,13.0
500378,"Rivero, Erwin",District 2,Alicante Street,Residential,Active,40.0,,,,,,,,0.0,85.0,48.0,64.0,55.0,,66.0,69.0,41.0,84.0,0.0,69.0,0.0,113.0,112.0,62.0,57.0,64.0,46.0,50.0,0.0,56.0,63.0,51.0,40.0,81.0,,,49.0,48.0,,,,,45.0,,37.0,41.0,,31.0,39.0,,40.0,31.0,30.0,45.0,40.0
500379,"Bartolay, Benito",,Bartolabac Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500380,"Borejon, Melchor",District 2,Alicante Street,Residential,Active,1.0,,,,,,,,6.0,9.0,5.0,6.0,4.0,,7.0,7.0,3.0,11.0,0.0,7.0,0.0,11.0,11.0,11.0,4.0,4.0,5.0,3.0,0.0,4.0,5.0,5.0,5.0,10.0,,,7.0,6.0,,,,,7.0,,5.0,8.0,,3.0,6.0,,1.0,6.0,5.0,8.0,1.0
500381,UCCP,District 2,Alicante Street,Residential,Active,51.0,,,,,,,,27.0,23.0,12.0,9.0,10.0,,13.0,27.0,19.0,40.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,6.0,0.0,8.0,7.0,6.0,43.0,62.0,,,89.0,88.0,,,,,39.0,,45.0,58.0,,43.0,76.0,,58.0,54.0,65.0,74.0,51.0
500382,"Malana, Ruel",,Gutierrez Street,Residential,Active,12.0,,,,,,,,16.0,24.0,11.0,16.0,15.0,,15.0,17.0,25.0,11.0,0.0,24.0,9.0,32.0,32.0,17.0,18.0,28.0,13.0,16.0,0.0,14.0,15.0,15.0,18.0,36.0,,,7.0,6.0,,,,,7.0,,10.0,10.0,,17.0,17.0,,9.0,10.0,15.0,19.0,12.0
500383,"Delavin, Fely",,Gutierrez Street,Residential,Active,2.0,,,,,,,,8.0,10.0,0.0,8.0,9.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,,,15.0,15.0,,,,,8.0,,5.0,6.0,,3.0,8.0,,6.0,5.0,6.0,2.0,2.0
500384,"Ramirez, Josefa",,Gutierrez Street,Residential,Active,0.0,,,,,,,,24.0,27.0,13.0,25.0,20.0,,22.0,24.0,54.0,20.0,0.0,20.0,8.0,28.0,28.0,10.0,5.0,4.0,0.0,0.0,0.0,7.0,18.0,8.0,1.0,0.0,,,5.0,5.0,,,,,2.0,,4.0,3.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500385,"Letada, Cyril",District 1,Lique Street,Residential,Active,37.0,,,,,,,,13.0,28.0,12.0,18.0,13.0,,13.0,3.0,11.0,12.0,0.0,7.0,0.0,24.0,23.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,27.0,3.0,,9.0,6.0,40.0,43.0,37.0
500386,"Garamay, Michael Angelo",District 1,Lique Street,Residential,Active,13.0,,,,,,,,6.0,11.0,8.0,9.0,12.0,,13.0,9.0,15.0,20.0,0.0,14.0,0.0,,,13.0,16.0,18.0,12.0,14.0,0.0,13.0,12.0,37.0,105.0,0.0,,,23.0,23.0,,,,,22.0,,15.0,10.0,,16.0,13.0,,8.0,13.0,12.0,15.0,13.0
500387,"Cantoria, Erlinda",,Bartolabac Street,Residential,Active,22.0,,,,,,,,1.0,9.0,9.0,8.0,5.0,,0.0,16.0,0.0,45.0,0.0,17.0,0.0,7.0,6.0,0.0,12.0,15.0,17.0,13.0,0.0,1.0,32.0,28.0,23.0,30.0,,,35.0,34.0,,,,,32.0,,30.0,14.0,,41.0,0.0,,11.0,16.0,20.0,24.0,22.0
500388,"Dejumo, Lydia",District 1,Lique Street,Residential,Active,12.0,,,,,,,,9.0,17.0,12.0,33.0,24.0,,15.0,12.0,10.0,27.0,0.0,22.0,0.0,26.0,26.0,16.0,20.0,24.0,20.0,24.0,0.0,49.0,35.0,23.0,34.0,98.0,,,34.0,33.0,,,,,21.0,,12.0,20.0,,18.0,16.0,,5.0,9.0,19.0,16.0,12.0
500389,"Almodiel, Edgar",District 2,Bailon Street,Commercial,Active,17.0,,,,,,,,0.0,58.0,55.0,36.0,63.0,,54.0,51.0,44.0,85.0,0.0,59.0,0.0,95.0,95.0,50.0,42.0,37.0,32.0,40.0,0.0,66.0,60.0,31.0,75.0,77.0,,,91.0,90.0,,,,,41.0,,43.0,37.0,,47.0,45.0,,65.0,47.0,25.0,25.0,17.0
500390,"Rejuso, Vicente",District 2,Esparrago Street,Residential,Active,41.0,,,,,,,,50.0,23.0,91.0,50.0,70.0,,93.0,150.0,165.0,109.0,101.0,80.0,0.0,88.0,88.0,0.0,43.0,0.0,0.0,3.0,0.0,2.0,8.0,10.0,0.0,0.0,,,0.0,0.0,,,,,20.0,,21.0,40.0,,50.0,52.0,,49.0,46.0,74.0,51.0,41.0
500391,"Barsaga, Rudy",District 1,Espinosa Street,Residential,Active,18.0,,,,,,,,0.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,25.0,25.0,,,,,0.0,,0.0,81.0,,26.0,0.0,,20.0,11.0,19.0,27.0,18.0
500392,"Bulalaque, Zelda",,Gutierrez Street,Residential,Active,22.0,,,,,,,,35.0,43.0,29.0,35.0,27.0,,24.0,22.0,44.0,17.0,39.0,39.0,16.0,52.0,52.0,25.0,47.0,26.0,13.0,20.0,0.0,23.0,22.0,20.0,18.0,33.0,,,30.0,30.0,,,,,41.0,,20.0,18.0,,21.0,17.0,,18.0,20.0,14.0,22.0,22.0
500393,"Grajo, Gloria",District 1,Bartolay Street,Residential,Active,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,1.0,4.0,12.0,0.0,24.0,,,2.0,2.0,,,,,0.0,,10.0,1.0,,16.0,4.0,,1.0,0.0,10.0,3.0,1.0
500394,"Llacer, Manuel",District 2,Bailon Street,Commercial,Active,8.0,,,,,,,,10.0,8.0,10.0,5.0,10.0,,13.0,13.0,15.0,13.0,0.0,43.0,0.0,74.0,73.0,0.0,10.0,5.0,5.0,5.0,0.0,4.0,15.0,15.0,19.0,16.0,,,13.0,13.0,,,,,7.0,,9.0,9.0,,12.0,11.0,,9.0,9.0,15.0,20.0,8.0
500395,"Gutierrez, Helen",District 2,Fabmar Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500396,"Bartolay, Romeo",District 2,Fabmar Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500397,"Baruelo, Charina",District 2,Jones Street,Residential,Active,27.0,,,,,,,,33.0,53.0,17.0,15.0,22.0,,23.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,28.0,38.0,58.0,,,42.0,41.0,,,,,35.0,,17.0,40.0,,33.0,30.0,,32.0,24.0,43.0,29.0,27.0
